CASRN,LD50,Compound name,Binary,GHS,Set,SMILES
93-76-5,1535,"2,4,5-T [BSI:ISO]",1.0,4,ms,O=C(O)COc1cc(Cl)c(Cl)cc1Cl
55-63-0,29,Nitroglycerin,1.0,1,ms,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
36614-38-7,270,Isothioate [BSI:ISO],1.0,3,ms,COP(=S)(OC)SCCSC(C)C
694-83-7,1870,"cyclohexane-1,2-diamine",1.0,4,ms,NC1CCCCC1N
96-24-2,1057,alpha-Chlorohydrin,1.0,4,ms,OCC(O)CCl
6164-98-3,263,Chlordimeform [ANSI:BSI:ISO],1.0,3,ms,Cc1cc(Cl)ccc1N=CN(C)C
98-94-2,375,"N,N-dimethylcyclohexanamine",1.0,3,ms,CN(C)C1CCCCC1
85-00-7,429,Diquat,1.0,3,ms,c1cc[n+]2c(c1)-c1cccc[n+]1CC2
107-07-3,312,2-chloroethan-1-ol,1.0,3,ms,OCCCl
136-30-1,1000,sodium dibutyldithiocarbamate,1.0,4,ms,CCCCN(CCCC)C(=S)S
3734-95-0,105,Cyanthoate [ISO],1.0,2,ms,CCOP(=O)(OCC)SCC(=O)NC(C)(C)C#N
23505-41-1,1000,Pirimiphos-ethyl [BAN:ANSI:BSI:ISO],1.0,4,ms,CCOP(=S)(OCC)Oc1cc(C)nc(N(CC)CC)n1
63449-41-2,1420,C8-18-Alkydimethylbenzyl ammonium chlorides,1.0,4,ms,CCCCCCCCCC[N+](C)(C)Cc1ccccc1
51-43-4,62,Epinephrine,1.0,2,ms,CNCC(O)c1ccc(O)c(O)c1
696-28-6,16,Phenyldichloroarsine,1.0,1,ms,Cl[As](Cl)c1ccccc1
565-74-2,1410,,1.0,4,ms,CC(C)C(Br)C(=O)O
71422-67-8,720,Chlorfluazuron [ISO],1.0,3,ms,O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(Oc2ncc(C(F)(F)F)cc2Cl)c(Cl)c1
88485-37-4,1540,Fluxofenim [ISO],1.0,4,ms,FC(F)(F)C(=NOCC1OCCO1)c1ccc(Cl)cc1
5836-29-3,40,Coumatetralyl [BSI:ISO],1.0,1,ms,O=c1oc2ccccc2c(O)c1C1CCCc2ccccc21
115-32-2,100,Dicofol [BSI:ISO],1.0,2,ms,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
542-75-6,910,"1,3-dichloroprop-1-ene",1.0,3,ms,ClC=CCCl
2497-07-06,92,Oxydisulfoton [ISO],1.0,2,ms,CCOP(=S)(OCC)SCCS(=O)CC
538-07-8,17,Nitrogen mustard (HN-1),1.0,1,ms,CCN(CCCl)CCCl
4635-87-4,314,pent-3-enenitrile,1.0,3,ms,CC=CCC#N
74115-24-5,1332,,1.0,4,ms,Clc1ccccc1-c1nnc(-c2ccccc2Cl)nn1
631-93-6,1200,"Benzenesulfonanilide, 4,4'-dichloro-N-methyl-",1.0,4,ms,CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)cc1
2431-96-1,1749,"N,N-Diethylphenylacetamide",1.0,4,ms,CCN(CC)C(=O)Cc1ccccc1
78-34-2,63,,1.0,2,ms,CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC
13098-39-0,670,Hexafluoroacetone sesquihydrate,1.0,3,ms,O=C(C(F)(F)F)C(F)(F)F
2164-09-02,1780,Chloranocryl [ISO],1.0,4,ms,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1
786-19-6,27,Carbophenothion [INN:ANSI:BSI:ISO],1.0,1,ms,CCOP(=S)(OCC)SCSc1ccc(Cl)cc1
141-66-2,42,Dicrotophos [BSI:ISO],1.0,1,ms,COP(=O)(OC)OC(C)=CC(=O)N(C)C
105-39-5,161,,1.0,2,ms,CCOC(=O)CCl
56073-10-0,200,Brodifacoum [ANSI:BSI:ISO],1.0,3,ms,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccc(Br)cc3)cc2)Cc2ccccc21
368-97-8,15,"Arsine, difluorophenyl-",1.0,1,ms,F[As](F)c1ccccc1
79-04-9,662,Chloroacetyl chloride,1.0,3,ms,O=C(Cl)CCl
58-90-2,485,"2,3,4,6-Tetrachlorophenol",1.0,3,ms,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
13194-48-4,60,Ethoprop [ANSI],1.0,2,ms,CCCSP(=O)(OCC)SCCC
696-24-2,15,,1.0,1,ms,Br[As](Br)c1ccccc1
1129-41-5,896,Metolcarb [BSI:ISO],1.0,3,ms,CNC(=O)Oc1cccc(C)c1
16529-56-9,1705,2-methylbut-3-enenitrile,1.0,4,ms,C=CC(C)C#N
2307-49-5,1000,Tricamba [ANSI:ISO],1.0,4,ms,COc1c(Cl)cc(Cl)c(Cl)c1C(=O)O
13121-70-5,446,Cyhexatin [ANSI:BSI:ISO],1.0,3,ms,[OH][Sn]([CH]1CCCCC1)([CH]1CCCCC1)[CH]1CCCCC1
900-95-8,450,Fentin acetate [BSI:ISO],1.0,3,ms,CC(=O)[O][Sn]([c]1ccccc1)([c]1ccccc1)[c]1ccccc1
919-86-8,85,Demeton-S-methyl [ISO:BSI],1.0,2,ms,CCSCCSP(=O)(OC)OC
136-96-9,1056,Diamthazole dihydrochloride,1.0,4,ms,CCN(CC)CCOc1ccc2nc(N(C)C)sc2c1
97-17-6,355,Dichlofenthion [ANSI:ISO],1.0,3,ms,CCOP(=S)(OCC)Oc1ccc(Cl)cc1Cl
100-46-9,1340,phenylmethanamine,1.0,4,ms,NCc1ccccc1
88-18-6,705,2-tert-butylphenol,1.0,3,ms,CC(C)(C)c1ccccc1O
113-48-4,470,N-Octyl bicycloheptenedicarboximide,1.0,3,ms,CCCCC(CC)CN1C(=O)C2C3C=CC(C3)C2C1=O
76840-16-9,569,"Hexanoic acid, 2-ethyl-, ester with 1,2,3-propanetriol bis(3-(4-methoxyphenyl)-2-propenoate)",1.0,3,ms,CCCCC(CC)C(=O)OCC(COC(=O)C=Cc1ccc(OC)cc1)OC(=O)C=Cc1ccc(OC)cc1
1085-98-9,1000,Dichlofluanid [BSI:ISO],1.0,4,ms,CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1
3383-96-8,1370,Temefos,1.0,4,ms,COP(=S)(OC)Oc1ccc(Sc2ccc(OP(=S)(OC)OC)cc2)cc1
106-48-9,1500,,1.0,4,ms,Oc1ccc(Cl)cc1
2597-03-07,700,Phenthoate [BSI:ISO],1.0,3,ms,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1
3734-48-3,690,Chlordene,1.0,3,ms,ClC1=C(Cl)C2(Cl)C3CC=CC3C1(Cl)C2(Cl)Cl
115-90-2,3,Fensulfothion [BSI:ISO],1.0,1,ms,CCOP(=S)(OCC)Oc1ccc(S(C)=O)cc1
22781-23-3,566,Bendiocarb [ANSI:BSI:ISO],1.0,3,ms,CNC(=O)Oc1cccc2c1OC(C)(C)O2
4104-14-7,25,Phosacetim [ISO:BSI],1.0,1,ms,CC(N)=NP(=S)(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1
3689-24-5,65,Sulfotep [BSI:ISO],1.0,2,ms,CCOP(=S)(OCC)OP(=S)(OCC)OCC
13071-79-9,7,Terbufos [ANSI:BSI:ISO],1.0,1,ms,CCOP(=S)(OCC)SCSC(C)(C)C
39515-41-8,870,Fenpropathrin [ISO],1.0,3,ms,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C
42509-80-8,118,Isazofos [BSI:ISO],1.0,2,ms,CCOP(=S)(OCC)Oc1nc(Cl)n(C(C)C)n1
3425-61-4,446,"1,1-dimethylpropyl hydroperoxide",1.0,3,ms,CCC(C)(C)OO
100-60-7,400,N-methylcyclohexanamine,1.0,3,ms,CNC1CCCCC1
420-04-2,84,Cyanamide [JAN],1.0,2,ms,N#CN
2778-04-03,130,Endothion [ISO],1.0,2,ms,COc1coc(CSP(=O)(OC)OC)cc1=O
120-80-9,600,"benzene-1,2-diol",1.0,3,ms,Oc1ccccc1O
3037-72-7,45,"Silane, (4-aminobutyl)diethoxymethyl-",1.0,1,ms,CCO[Si](C)(CCCCN)OCC
518-28-5,500,Podophyllotoxin,1.0,3,ms,COc1cc(C2c3cc4c(cc3C(O)C3COC(=O)C23)OCO4)cc(OC)c1OC
14437-17-3,1273,Chlorfenprop-methyl [BSI:ISO],1.0,4,ms,COC(=O)C(Cl)Cc1ccc(Cl)cc1
80-15-9,500,Cumene hydroperoxide,1.0,3,ms,CC(C)(OO)c1ccccc1
1646-88-4,1000,Aldoxycarb [ANSI:BSI:ISO],1.0,4,ms,CNC(=O)ON=CC(C)(C)S(C)(=O)=O
50-29-3,1931,DDT [BSI:ISO],1.0,4,ms,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
22224-92-6,76,Fenamiphos,1.0,2,ms,CCOP(=O)(NC(C)C)Oc1ccc(SC)c(C)c1
79538-32-2,148,Tefluthrin [BSI:ISO],1.0,2,ms,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F
518-20-7,21,,1.0,1,ms,COC1(C)CC(c2ccccc2)c2c(c3ccccc3oc2=O)O1
122-14-5,946,Fenitrothion,1.0,3,ms,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C)c1
78-48-8,168,Tribufos [ISO],1.0,2,ms,CCCCSP(=O)(SCCCC)SCCCC
485-31-4,720,Binapacryl [ANSI:BSI:ISO],1.0,3,ms,CCC(C)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1OC(=O)C=C(C)C
2700-89-2,500,"Ethylene, 1,2-dichloro-1-(methylsulfonyl)-",1.0,3,ms,CS(=O)(=O)C(Cl)=CCl
91465-08-6,632,lambda-Cyhalothrin [ISO],1.0,3,ms,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1
534-52-1,200,DNOC-sodium [ISO],1.0,3,ms,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
2312-35-8,250,Propargite [ANSI:BSI:ISO],1.0,3,ms,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1
106359-91-5,2000,"trisodium 7-{2-[2-(carbamoylamino)-4-{[4-({2-[2-(ethenesulfonyl)ethoxy]ethyl}amino)-6-fluoro-1,3,5-triazin-2-yl]amino}phenyl]diazen-1-yl}naphthalene-1,3,6-trisulfonate",0.0,5,ms,C=CS(=O)(=O)CCOCCNc1nc(F)nc(Nc2ccc(N=Nc3cc4c(S(=O)(=O)O)cc(S(=O)(=O)O)cc4cc3S(=O)(=O)O)c(NC(N)=O)c2)n1
182061-89-8,2000,-,0.0,5,ms,[H]/N=C1\C=Cc2cc(S(=O)(=O)O)cc(O)c2C1=NNc1ccc(Nc2nc(NCCS(=O)(=O)O)nc(N(CCO)CCO)n2)cc1S(=O)(=O)O
405-900-0,2000,"tetrasodium 5-{[4-chloro-6-({4-[2-(sulfonatooxy)ethanesulfonyl]phenyl}amino)-1,3,5-triazin-2-yl]amino}-4-hydroxy-3-(2-{4-[2-(sulfonatooxy)ethanesulfonyl]phenyl}diazen-1-yl)naphthalene-2,7-disulfonate",0.0,5,ms,O=S(=O)(O)OCCS(=O)(=O)c1ccc(N=Nc2c(S(=O)(=O)O)cc3cc(S(=O)(=O)O)cc(Nc4nc(Cl)nc(Nc5ccc(S(=O)(=O)CCOS(=O)(=O)O)cc5)n4)c3c2O)cc1
4368-56-3,3514,"sodium 1-amino-4-(cyclohexylamino)-9,10-dioxo-9,10-dihydroanthracene-2-sulfonate",0.0,5,ms,Nc1c(S(=O)(=O)O)cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O
68083-38-5,2000,"3-(5-imino-3-methyl-4,5-dihydro-1H-pyrazol-1-yl)benzene-1-sulfonic acid",0.0,5,ms,[H]/N=C1/CC(C)=NN1c1cccc(S(=O)(=O)O)c1
,2000,Triticonazole,0.0,5,ms,CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1
84045-65-8,2000,"trisodium 8-{[(2E)-4-chloro-6-[ethyl(phenyl)amino]-1,2-dihydro-1,3,5-triazin-2-ylidene]amino}-2-[(E)-2-(1-sulfonaphthalen-2-yl)diazen-1-yl]-3,6-disulfonatonaphthalen-1-olate",0.0,5,ms,CCN(c1ccccc1)c1nc(Cl)nc(Nc2cc(S(=O)(=O)O)cc3cc(S(=O)(=O)O)c(N=Nc4ccc5ccccc5c4S(=O)(=O)O)c(O)c23)n1
20298-05-9,2000,"trisodium 2-[(E)-2-(3-methyl-5-oxo-1-{4-[2-(sulfonatooxy)ethanesulfonyl]phenyl}-4,5-dihydro-1H-pyrazol-4-yl)diazen-1-yl]naphthalene-1,5-disulfonate",0.0,5,ms,CC1=NN(c2ccc(S(=O)(=O)CCOS(=O)(=O)O)cc2)C(=O)C1/N=N/c1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O
72139-17-4,2000,"disodium 1-amino-4-({3-[(5-chloro-2,6-difluoropyrimidin-4-yl)amino]-2-methyl-5-sulfonatophenyl}amino)-9,10-dioxo-9,10-dihydroanthracene-2-sulfonate",0.0,5,ms,Cc1c(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)cc(S(=O)(=O)O)cc1Nc1nc(F)nc(F)c1Cl
10149-98-1,2000,"5-oxo-4-[(E)-2-{4-[2-(sulfooxy)ethanesulfonyl]phenyl}diazen-1-yl]-1-(4-sulfophenyl)-4,5-dihydro-1H-pyrazole-3-carboxylic acid",0.0,5,ms,O=C(O)c1[nH]n(-c2ccc(S(=O)(=O)O)cc2)c(=O)c1/N=N/c1ccc(S(=O)(=O)CCOS(=O)(=O)O)cc1
15790-07-5,2000,aluminium(3+) ion 6-sulfonato-1-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]naphthalen-2-olate,0.0,5,ms,O=C1C=Cc2cc(S(=O)(=O)O)ccc2C1=NNc1ccc(S(=O)(=O)O)cc1
200575-15-1,2000,-,0.0,5,ms,CCCc1nn(C)c(C(N)=O)c1NC(=O)c1cc(S(=O)(=O)N2CCN(C)CC2)ccc1OCC
90677-63-7,2000,unnamed [90677-63-7],0.0,5,ms,O=S(=O)(O)c1ccc2c(c1)/C(=N\Nc1ccccc1S(=O)(=O)c1ccccc1)C(c1ccccc1)=N2
98389-04-9,2079,Pyrazosulfuron  [ISO:BSI],0.0,5,ms,COc1cc(OC)nc(NC(=O)NS(=O)(=O)c2c(C(=O)O)cnn2C)n1
101205-02-1,4000,Cycloxydim [ISO],0.0,5,ms,CCCC(=NOCC)C1=C(O)CC(C2CCCSC2)CC1=O
6980-18-3,4000,Kasugamycin,0.0,5,ms,[H]/N=C(/NC1CC(N)C(OC2C(O)C(O)C(O)C(O)C2O)OC1C)C(=O)O
181587-01-9,2000,unnamed [181587-01-9],0.0,5,ms,CCS(=O)c1c(C#N)nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c1N
6259-53-6,2000,4-hydroxy-6-(methylamino)naphthalene-2-sulfonic acid,0.0,5,ms,CCN(CC)S(=O)(=O)c1ccc(C(=O)NCc2ccc3c(c2)cc(C)n3C)cc1
101903-30-4,2000,Pefurazoate [ISO:BSI],0.0,5,ms,C=CCCCOC(=O)C(CC)N(Cc1ccco1)C(=O)n1ccnc1
188113-71-5,2000,unnamed [188113-71-5],0.0,5,ms,CC(=O)n1cc(CC2CCCN2C)c2cc(C=CS(=O)(=O)c3ccccc3)ccc21
72252-58-5,2000,"sodium 3-[(E)-2-[(2Z)-17-amino-6-nitro-8,21-bis[(sodiooxy)sulfonyl]-10,12-dioxa-2,3-diaza-11-chromatetracyclo[11.8.0.0???,???.0?????,?????]henicosa-1(21),2,4(9),5,7,13,15,17,19-nonaen-18-yl]diazen-1-yl]-2-hydroxy-5-[(sodiooxy)sulfonyl]benzoate",0.0,5,ms,Nc1ccc2c(O)c(N=Nc3cc([N+](=O)[O-])cc(S(=O)(=O)O)c3O)c(S(=O)(=O)O)cc2c1N=Nc1cc(S(=O)(=O)O)cc(C(=O)O)c1O
79983-71-4,2000,Hexaconazole [BSI:ISO],0.0,5,ms,CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl
413-920-6,2000,-,0.0,5,ms,O=C1NC(c2ccc(-c3ccccc3)cc2)=C2C(=O)NC(c3ccc(-c4ccccc4)cc3)=C12
70239-77-9,2000,"4-[(3-aminobenzoyl)amino]-5-hydroxynaphthalene-1,7-disulphonic acid",0.0,5,ms,Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(O)c23)c1
7365-45-9,2000,2-[4-(2-hydroxyethyl)piperazin-1-yl]ethanesulfonic acid,0.0,5,ms,O=S(=O)(O)CCN1CCN(CCO)CC1
26787-78-0,2000,"6-{[amino(4-hydroxyphenyl)acetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid",0.0,5,ms,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O
34455-29-3,5000,"carboxymethyldimethyl-3-[[(3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooctyl)sulphonyl]amino]propylammonium hydroxide",0.0,5,ms,C[N+](C)(CCCNS(=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC(=O)O
83055-99-6,2000,Bensulfuron-methyl [ISO],0.0,5,ms,COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
93697-74-6,2000,Pyrazosulfuron-ethyl  [ISO:BSI],0.0,5,ms,CCOC(=O)c1cnn(C)c1S(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
60568-05-0,5000,Furmecyclox [BSI:ISO],0.0,5,ms,CON(C(=O)c1cc(C)oc1C)C1CCCCC1
6300-50-1,2000,disodium 6-amino-3-sulfo-2-[(E)-2-{4-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]phenyl}diazen-1-yl]naphthalen-1-olate,0.0,5,ms,Nc1ccc2c(O)c(N=Nc3ccc(/N=N/c4ccc(S(=O)(=O)O)cc4)cc3)c(S(=O)(=O)O)cc2c1
70210-30-9,2000,tetrasodium 2-[(E)-2-{2-acetamido-4-[4-({3-acetamido-4-[(E)-2-{2-sulfonato-4-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]phenyl}diazen-1-yl]phenyl}carbamoyl)benzamido]phenyl}diazen-1-yl]-5-[(E)-2-(4-sulfonatophenyl)diazen-1-yl]benzene-1-sulfonate,0.0,5,ms,CC(=O)Nc1cc(NC(=O)c2ccc(C(=O)Nc3ccc(N=Nc4ccc(N=Nc5ccc(S(=O)(=O)O)cc5)cc4S(=O)(=O)O)c(NC(C)=O)c3)cc2)ccc1N=Nc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1S(=O)(=O)O
83130-01-2,2000,Alanycarb [ISO],0.0,5,ms,CCOC(=O)CCN(Cc1ccccc1)SN(C)C(=O)ON=C(C)SC
,2000,Thiamethoxam,0.0,5,ms,CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-]
25366-23-8,2150,Thiazafluron [BSI:ISO],0.0,5,ms,CNC(=O)N(C)c1nnc(C(F)(F)F)s1
214417-91-1,2000,-,0.0,5,ms,C/C(CC(C)C)=N/NC(=O)c1cc2ccccc2cc1O
37248-47-8,5000,Validamycin A,0.0,5,ms,OCC1=CC(NC2CC(CO)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O
23847-08-7,2000,1-[(2-oxoazepan-1-yl)disulfanyl]azepan-2-one,0.0,5,ms,O=C1CCCCCN1SSN1CCCCCC1=O
110488-70-5,2000,Dimethomorph,0.0,5,ms,COc1ccc(C(=CC(=O)N2CCOCC2)c2ccc(Cl)cc2)cc1OC
112839-32-4,2000,Furconazole-cis [ISO],0.0,5,ms,FC(F)(F)COC1CCC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
94593-91-6,5000,Cinosulfuron [ISO],0.0,5,ms,COCCOc1ccccc1S(=O)(=O)NC(=O)Nc1nc(OC)nc(OC)n1
,2000,Epoxiconazole,0.0,5,ms,Fc1ccc(C2(Cn3cncn3)OC2c2ccccc2Cl)cc1
74852-61-2,2000,1-(4-methoxyphenyl)-4-(4-nitrophenyl)piperazine,0.0,5,ms,COc1ccc(N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1
314-40-9,2500,Bromacil [ANSI:BSI:ISO],0.0,5,ms,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O
99591-74-9,2000,-,0.0,5,ms,O=S1(=O)CS(=O)(=O)OCO1
,2000,Dimethenamid,0.0,5,ms,COCC(C)N(C(=O)CCl)c1c(C)csc1C
122731-58-2,2000,-,0.0,5,ms,O=C(O)c1cc(C(=O)NCC(O)CO)cc([N+](=O)[O-])c1
83657-22-1,5000,Uniconazole [ISO],0.0,5,ms,CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1)n1cncn1
34014-18-1,5000,Tebuthiuron [ANSI:BSI:ISO],0.0,5,ms,CNC(=O)N(C)c1nnc(C(C)(C)C)s1
,2000,Pyridate,0.0,5,ms,CCCCCCCCSC(=O)Oc1cc(Cl)nnc1-c1ccccc1
2438-72-4,5000,Bufexamac,0.0,5,ms,CCCCOc1ccc(CC(=O)NO)cc1
113036-88-7,2000,Flucycloxuron [ISO],0.0,5,ms,O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(CON=C(c2ccc(Cl)cc2)C2CC2)cc1
72869-86-4,2000,"2-[({2,2,4-trimethyl-6-[({2-[(2-methylprop-2-enoyl)oxy]ethoxy}carbonyl)amino]hexyl}carbamoyl)oxy]ethyl 2-methylprop-2-enoate 2-[({2,4,4-trimethyl-6-[({2-[(2-methylprop-2-enoyl)oxy]ethoxy}carbonyl)amino]hexyl}carbamoyl)oxy]ethyl 2-methylprop-2-enoate",0.0,5,ms,C=C(C)C(=O)OCCOC(=O)NCCC(C)CC(C)(C)CNC(=O)OCCOC(=O)C(=C)C
137658-79-8,2000,-,0.0,5,ms,CCCCC(CC)COCC(O)COc1ccc(-c2nc(-c3ccc(C)cc3C)nc(-c3ccc(C)cc3C)n2)c(O)c1
23949-66-8,5000,N-(2-ethoxyphenyl)-N'-(2-ethylphenyl)ethanediamide,0.0,5,ms,CCOc1ccccc1NC(=O)C(=O)Nc1ccccc1CC
6362-79-4,2000,sodium hydrogen-5-sulphoisophthalate,0.0,5,ms,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1
26399-36-0,3170,Profluralin [ANSI:BSI:ISO],0.0,5,ms,CCCN(CC1CC1)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
15271-41-7,2000,Tranid,0.0,5,ms,CNC(=O)ON=C1C(Cl)C2CC(C#N)C1C2
204277-61-2,2000,-,0.0,5,ms,COC(=O)CN(c1cc(NC(C)=O)c(N=Nc2c(Cl)cc([N+](=O)[O-])cc2C#N)cc1OC)C(C)C(=O)OC
287930-77-2,2000,-,0.0,5,ms,CC(C)(O)c1ccccc1CCC(O)c1cccc(C=Cc2ccc3ccc(Cl)cc3n2)c1
,2000,Be###ubutamid,0.0,5,ms,CCC(Oc1ccc(F)c(C(F)(F)F)c1)C(=O)NCc1ccccc1
84870-65-5,2000,"2-[[4-(diethylamino)-2-methylphenyl]azo]-5-nitrobenzene-1,3-dicarbonitrile",0.0,5,ms,CCN(CC)c1ccc(N=Nc2c(C#N)cc([N+](=O)[O-])cc2C#N)c(C)c1
88402-43-1,5000,Chlorphthalim,0.0,5,ms,O=C1C2=C(CCCC2)C(=O)N1c1ccc(Cl)cc1
932742-30-8,2000,-,0.0,5,ms,CCCCCCCCCCCC(=O)OCC(C)(C)C=NCC1(C)CC(N=CC(C)(C)COC(=O)CCCCCCCCCCC)CC(C)(C)C1
50512-35-1,10250,Isoprothiolane [BSI:ISO],0.0,5,ms,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1
,2000,Azoxystrobin,0.0,5,ms,COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1
91273-04-0,2000,"bis(2-ethylhexyl)(1H-1,2,4-triazol-1-ylmethyl)amine",0.0,5,ms,CCCCC(CC)CN(CC(CC)CCCC)Cn1cncn1
71048-99-2,3000,Bilanafos-sodium [ISO],0.0,5,ms,CC(NC(=O)C(C)NC(=O)C(N)CCP(C)(=O)O)C(=O)O
136-45-8,9400,Dipropyl isocinchomeronate,0.0,5,ms,CCCOC(=O)c1ccc(C(=O)OCCC)nc1
162881-26-7,2000,"[phenyl(2,4,6-trimethylbenzoyl)phosphoryl](2,4,6-trimethylphenyl)methanone",0.0,5,ms,C=c1cc(C)cc(C)c1=C(O)P(=O)(C(O)=c1c(C)cc(C)cc1=C)c1ccccc1
58725-33-0,2000,sodium (2S)-1-hexadecanoyl-5-oxopyrrolidine-2-carboxylate,0.0,5,ms,CCCCCCCCCCCCCCCC(=O)N1C(=O)CCC1C(=O)O
13223-43-3,5000,-,0.0,5,ms,COc1cc(OC)n2nc(N)nc2n1
,4000,Ethoxysulfuron,0.0,5,ms,CCOc1ccccc1OS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
,5000,Maleic hydrazide,0.0,5,ms,O=c1ccc(=O)[nH][nH]1
1445870-18-7,2000,-,0.0,5,ms,CC(CC(=O)OCCN1C(C)(C)CC(OC(=O)CC(C)CC(C)(C)C)CC1(C)C)CC(C)(C)C
477-700-1,5000,"1-{3-[(3-{2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecan-1-yl}propyl)disulfanyl]propyl}-2,8,9-trioxa-5-aza-1-silabicyclo[3.3.3]undecane",0.0,5,ms,C(CSSCCC[Si]12OCCN(CCO1)CCO2)C[Si]12OCCN(CCO1)CCO2
27206-35-5,2000,disodium 3-[(3-sulfonatopropyl)disulfanyl]propane-1-sulfonate,0.0,5,ms,O=S(=O)(O)CCCSSCCCS(=O)(=O)O
66063-05-6,5000,Pencycuron [BSI:ISO],0.0,5,ms,O=C(Nc1ccccc1)N(Cc1ccc(Cl)cc1)C1CCCC1
174489-43-1,2000,-,0.0,5,ms,C=CCOC(=O)C(C)(C)OC(=O)c1cc(N)ccc1Cl
3337-71-1,10000,Asulam [ANSI:BSI:ISO],0.0,5,ms,COC(=O)NS(=O)(=O)c1ccc(N)cc1
330-55-2,2250,Linuron,0.0,5,ms,CON(C)C(=O)Nc1ccc(Cl)c(Cl)c1
28861-00-9,2000,-,0.0,5,ms,COc1ccc(CC(C)(NC(N)=O)C(=O)O)cc1OC
7287-19-6,3100,Prometryn [ANSI:BSI:ISO],0.0,5,ms,CSc1nc(NC(C)C)nc(NC(C)C)n1
68784-14-5,2000,-,0.0,5,ms,C=CCOCC1(OC2OC(CO)C(O)C(O)C2O)OC(CO)C(O)C1O
3965-55-7,2000,"sodium 3,5-bis(methoxycarbonyl)benzene-1-sulfonate",0.0,5,ms,COC(=O)c1cc(C(=O)OC)cc(S(=O)(=O)O)c1
10004-44-1,10000,,0.0,5,ms,Cc1cc(=O)[nH]o1
52722-86-8,2000,"1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidin-4-ol",0.0,5,ms,CC1(C)CC(O)CC(C)(C)N1CCO
25059-80-7,2100,Benazolin-ethyl [ISO],0.0,5,ms,CCOC(=O)Cn1c(=O)sc2cccc(Cl)c21
131860-97-4,2000,-,0.0,5,ms,COC=C(C(=O)OC)c1ccccc1Oc1cc(Cl)ncn1
