CASRN,LD50,Compound name,Binary,GHS,Set,SMILES
683-10-3,1300,Lauryldimethylbetaine,1.0,4,ms,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-]
32861-85-1,5,Chlomethoxyfen [BSI:ISO],1.0,1,ms,COc1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-]
10606-88-9,235,"Phosphorodithioic acid, S-(2-butylthioethyl) O,O-diethyl ester",1.0,3,ms,CCCCSCCSP(=S)(OCC)OCC
107-44-8,3,Sarin,1.0,1,ms,CC(C)OP(C)(=O)F
2439-01-02,500,Chinomethionat [ISO],1.0,3,ms,Cc1ccc2nc3sc(=O)sc3nc2c1
555-77-1,2,Tris(2-chloroethyl)amine,1.0,1,ms,ClCCN(CCCl)CCCl
63834-87-7,1594,,1.0,4,ms,CCCCCCCSC
11042-64-1,100,,1.0,2,ms,COc1cc(C=CC(=O)OC2CCC34CC35CCC3(C)C(C(C)CCC=C(C)C)CCC3(C)C5CCC4C2(C)C)ccc1O
2425-66-3,362,1-Chloro-2-nitropropane,1.0,3,ms,CC(CCl)[N+](=O)[O-]
76-44-8,119,Heptachlor [BSI:ISO],1.0,2,ms,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
470-90-6,26,Chlorfenvinphos [BSI:ISO],1.0,1,ms,CCOP(=O)(OCC)OC(=CCl)c1ccc(Cl)cc1Cl
101-96-2,756,"1-N,4-N-bis(butan-2-yl)benzene-1,4-diamine",1.0,3,ms,CCC(C)Nc1ccc(NC(C)CC)cc1
2550-75-6,1000,Chlorbicyclen [ISO],1.0,4,ms,ClCC1C(CCl)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
56073-07-5,50,Difenacoum [BSI:ISO],1.0,2,ms,O=c1oc2ccccc2c(O)c1C1CC(c2ccc(-c3ccccc3)cc2)Cc2ccccc21
816-80-8,1030,"Phosphorotrithious acid, trimethyl ester",1.0,4,ms,CSP(SC)SC
640-19-7,80,Fluoroacetamide [BSI:ISO],1.0,2,ms,NC(=O)CF
545-55-1,87,Triethylenephosphoramide,1.0,2,ms,O=P(N1CC1)(N1CC1)N1CC1
39196-18-4,39,Thiofanox [ANSI:BSI:ISO],1.0,1,ms,CNC(=O)ON=C(CSC)C(C)(C)C
919-76-6,1600,Amidithion [ISO],1.0,4,ms,COCCNC(=O)CSP(=S)(OC)OC
298-01-1,4,Mevinphos [BSI:ISO],1.0,1,ms,COC(=O)C=C(C)OP(=O)(OC)OC
2275-14-1,652,Phenkapton [ISO],1.0,3,ms,CCOP(=S)(OCC)SCSc1cc(Cl)ccc1Cl
26419-73-8,300,Tirpate,1.0,3,ms,CNC(=O)ON=CC1(C)SCC(C)S1
541-25-3,15,Lewisite,1.0,1,ms,ClC=C[As](Cl)Cl
4205-90-7,70,Clonidine,1.0,2,ms,Clc1cccc(Cl)c1NC1=NCCN1
34491-12-8,79,"Phosphonodithioic acid, chloromethyl-, S,S-diethyl ester",1.0,2,ms,CCSP(=O)(CCl)SCC
129-67-9,750,Endothal-disodium [ISO],1.0,3,ms,O=C(O)C1C2CCC(O2)C1C(=O)O
64-00-6,113,m-Cumenyl methylcarbamate,1.0,2,ms,CNC(=O)Oc1cccc(C(C)C)c1
5234-68-4,1050,Carboxin [ANSI:BSI:ISO],1.0,4,ms,CC1=C(C(=O)Nc2ccccc2)SCCO1
2238-07-05,1000,Diglycidyl ether,1.0,4,ms,C(OCC1CO1)C1CO1
51-75-2,12,Mechlorethamine,1.0,1,ms,CN(CCCl)CCCl
